hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3,Name,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,,116.487,,0.0,2448.97,,16.6628,116.485,16.6628,-63.5147,,,611_runway,,,,,2.4,,,1.0204041666666666
1,0.0,277.147,-1.64099,,0.0,,,100.874,-1.64255,100.874,178.357,,,634a_data_center,,,,,0.277,1.0005306859205776,,
1,0.0,277.147,-1.64099,,0.0,,,81.0499,-1.64255,81.0499,178.357,,,634b_radar,,,,,0.277,1.0005306859205776,,
1,0.0,277.147,-1.64099,,0.0,,,33.6245,-1.64255,33.6245,178.357,,,634c_atc_tower,,,,,0.277,1.0005306859205776,,
1,0.0,,-121.263,2422.37,0.0,,,3.77382,-121.264,3.77382,58.7365,,,645_hangar,,,,,2.4,,1.0093208333333332,
1,0.0,,-121.271,2422.09,0.0,,,6.52219,-121.271,6.52219,58.7285,,,646_office,,,,,2.4,,1.0092041666666667,
1,0.0,,116.578,,0.0,2445.4,,7.75887,116.576,7.75887,-63.4238,,,652_residential,,,,,2.4,,,1.0189166666666667
1,0.0,2413.88,-1.49042,,0.0,,,0.987513,-1.49127,0.987513,178.509,,,670a_residential2,,,,,2.4,1.0057833333333335,,
1,0.0,,-121.631,2424.31,0.0,,,3.60529,-121.631,3.60529,58.3694,,,670b_residential2,,,,,2.4,,1.0101291666666667,
1,0.0,,117.798,,0.0,2434.5,,6.85409,117.798,6.85409,-62.2024,,,670c_residential2,,,,,2.4,,,1.014375
1,0.0,2414.99,-2.14317,2427.64,-122.396,2445.55,116.711,112.332,-2.49973,113.797,-122.299,113.415,116.96,671_command_center,,,,,2.4,1.0062458333333333,1.0115166666666666,1.0189791666666668
1,0.0,2414.25,-2.31556,2427.13,-122.547,2445.79,116.544,60.4571,-2.31669,60.7799,-122.547,61.2467,116.543,675a_hospital,0.0,0.0,1.16379,-106.964,2.4,1.0059375,1.0113041666666667,1.0190791666666668
1,0.0,2414.25,-2.31556,2427.13,-122.547,2445.79,116.544,3.62499,-2.31669,3.64435,-122.547,3.67234,116.543,675b_residential1,0.0,0.0,0.0697804,-106.964,2.4,1.0059375,1.0113041666666667,1.0190791666666668
1,0.0,2414.25,-2.31556,2427.13,-122.547,2445.79,116.544,14.5,-2.31669,14.5774,-122.547,14.6893,116.543,675c_residential1,0.0,0.0,0.279121,-106.964,2.4,1.0059375,1.0113041666666667,1.0190791666666668
1,0.0,2414.98,-2.14336,2427.63,-122.396,2445.54,116.711,3.64447,-2.49993,3.692,-122.299,3.6796,116.96,692_warehouse2,,,,,2.4,1.0062416666666667,1.0115125,1.018975
